Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
150-151	36.82891624048772	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
1	36.617782649060224	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
2	36.77643992073668	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
3	36.7914554088546	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
4	36.822870234679826	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
5	36.808578456401825	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
6	36.8165874149841	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
7	36.80723541095518	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
8	36.80731381891572	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
9	36.81568041380783	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
10-14	36.80813582237149	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
15-19	36.80588421922691	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
20-24	36.800893399795356	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
25-29	36.78197790844801	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
30-34	36.77115241663809	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
35-39	36.75963911681506	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
40-44	36.74774051241857	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
45-49	36.734959403878385	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
50-54	36.70763181809916	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
55-59	36.706808005646536	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
60-64	36.703233467120555	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
65-69	36.68309920044392	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
70-74	36.67613109992559	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
75-79	36.671822123059	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
80-84	36.674233504342524	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
85-89	36.67177820102887	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
90-94	36.65872372026506	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
95-99	36.64746273260387	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
100-104	36.64307179195369	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
105-109	36.62701037561244	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
110-114	36.60886297626838	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
115-119	36.60146139271798	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
120-124	36.58716313229476	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
125-129	36.57501104719523	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
130-134	36.545650431022636	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
135-139	36.54136505234453	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
140-144	36.5226573179878	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
145-149	36.49727891630285	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
150-151	36.74415342636189	37.0	37.0	37.0	37.0	37.0	V05_DN_R2_rmphix_fastqc
1	36.65826044000194	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
2	36.731087690147255	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
3	36.80168371526276	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
4	36.83221601477226	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
5	36.85060993157598	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
6	36.85946172555082	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
7	36.857925646446574	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
8	36.857404552649726	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
9	36.85929914938663	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
10-14	36.86264426553668	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
15-19	36.85789718322097	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
20-24	36.85118123625962	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
25-29	36.84309887028692	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
30-34	36.83708168205479	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
35-39	36.82940212243714	37.0	37.0	37.0	37.0	37.0	V09_DN_R1_rmphix_fastqc
