Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
>50	8.070866688086703E-4	0.03711040266806737	V09_DN_R1_rmphix_fastqc
>100	2.172445989658719E-4	0.030975349322222127	V09_DN_R1_rmphix_fastqc
>500	1.3992293163268002E-5	0.006401995500704206	V09_DN_R1_rmphix_fastqc
>1k	6.665980374768898E-6	0.009047538548180255	V09_DN_R1_rmphix_fastqc
>5k	0.0	0.0	V09_DN_R1_rmphix_fastqc
>10k+	0.0	0.0	V09_DN_R1_rmphix_fastqc
1	74.07526771382985	53.57521188442338	V09_DN_R2_rmphix_fastqc
2	18.23424059108227	26.37596416101506	V09_DN_R2_rmphix_fastqc
3	5.179936973558932	11.23922583628677	V09_DN_R2_rmphix_fastqc
4	1.6104518877306684	4.659061183452551	V09_DN_R2_rmphix_fastqc
5	0.5416463218488871	1.9587385476336858	V09_DN_R2_rmphix_fastqc
6	0.18943094573701927	0.8220398010197999	V09_DN_R2_rmphix_fastqc
7	0.07758911561568756	0.39281630780817	V09_DN_R2_rmphix_fastqc
8	0.035863238249523366	0.20750575973643628	V09_DN_R2_rmphix_fastqc
9	0.022601989702187776	0.14712275530127722	V09_DN_R2_rmphix_fastqc
>10	0.032086393899209954	0.3060359051455177	V09_DN_R2_rmphix_fastqc
>50	4.914271803166868E-4	0.024661141470204456	V09_DN_R2_rmphix_fastqc
>100	3.517502894191978E-4	0.05333542450207751	V09_DN_R2_rmphix_fastqc
>500	2.8466088253346324E-5	0.01140470294063284	V09_DN_R2_rmphix_fastqc
>1k	6.592593901553821E-6	0.008563539874722031	V09_DN_R2_rmphix_fastqc
>5k	0.0	0.0	V09_DN_R2_rmphix_fastqc
>10k+	6.592593901553821E-6	0.21831304938976773	V09_DN_R2_rmphix_fastqc
1	76.93277159598753	58.398436060837014	V10_DN_R1_rmphix_fastqc
2	17.038927948267617	25.86795519489674	V10_DN_R1_rmphix_fastqc
3	4.363616157203616	9.937053632568517	V10_DN_R1_rmphix_fastqc
4	1.170958064264686	3.5554221290760952	V10_DN_R1_rmphix_fastqc
5	0.32585636330441514	1.2367617598247465	V10_DN_R1_rmphix_fastqc
6	0.09761459844742694	0.44458607959474494	V10_DN_R1_rmphix_fastqc
7	0.033930958922810533	0.18029513636656624	V10_DN_R1_rmphix_fastqc
8	0.013376242185014365	0.08122953147488825	V10_DN_R1_rmphix_fastqc
9	0.007151414168177692	0.04885671670770842	V10_DN_R1_rmphix_fastqc
>10	0.014803699385500652	0.17995925808493618	V10_DN_R1_rmphix_fastqc
>50	8.456704133336417E-4	0.04368788499950034	V10_DN_R1_rmphix_fastqc
