Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
40-44	5.42502303462147E-4	1.8013183280005267E-4	4.3768875162819825E-4	1.5801037964916902E-5	0.0014742368421267469	V03_DN_R2_rmphix_fastqc
45-49	7.71617353953442E-4	2.027799872164336E-4	4.856185667884462E-4	1.5801037964916902E-5	0.0016522618698648107	V03_DN_R2_rmphix_fastqc
50-54	9.759774449663673E-4	2.2279463530532835E-4	5.588300426925611E-4	1.9487946823397512E-5	0.0018503015456917693	V03_DN_R2_rmphix_fastqc
55-59	0.001201405586599182	2.4438938719071473E-4	6.504760628890792E-4	2.6861764540358732E-5	0.0020499213253152198	V03_DN_R2_rmphix_fastqc
60-64	0.001435260948479952	2.775715669170402E-4	7.205273312002107E-4	2.896856960234765E-5	0.0022174123277433387	V03_DN_R2_rmphix_fastqc
65-69	0.0017086189052730144	3.097003441123713E-4	7.716173539534421E-4	2.896856960234765E-5	0.0024043912769948555	V03_DN_R2_rmphix_fastqc
70-74	0.0020204260544473746	3.260280833427854E-4	8.10593247600237E-4	2.896856960234765E-5	0.0025692487730954883	V03_DN_R2_rmphix_fastqc
75-79	0.002364888682082563	3.402490175112106E-4	8.643167766809546E-4	3.318217972632549E-5	0.002737266476789105	V03_DN_R2_rmphix_fastqc
80-84	0.002765708345125955	3.6237047066209425E-4	9.280476298061194E-4	3.6342387319308874E-5	0.00290159727162424	V03_DN_R2_rmphix_fastqc
85-89	0.00321919813471907	3.971327541849114E-4	9.743973411698757E-4	4.3716205036270093E-5	0.0030796222993623042	V03_DN_R2_rmphix_fastqc
90-94	0.0037595936331192284	4.0872018202585056E-4	0.0010239072601266152	5.161672401872855E-5	0.0032623876384898437	V03_DN_R2_rmphix_fastqc
95-99	0.0043368582201041925	4.2978823264573976E-4	0.0010776307892073327	5.5830334142706396E-5	0.003416184408015035	V03_DN_R2_rmphix_fastqc
100-104	0.004906222288106698	4.519096857966235E-4	0.001133461123350039	5.846384047019253E-5	0.003612117278780004	V03_DN_R2_rmphix_fastqc
105-109	0.005501921419384066	4.6560391869955136E-4	0.0011935050676167235	6.109734679767868E-5	0.0038285914988993655	V03_DN_R2_rmphix_fastqc
110-114	0.006240356593611182	4.808782553989711E-4	0.0012461751941664461	6.478425565615931E-5	0.004011356838026904	V03_DN_R2_rmphix_fastqc
115-119	0.007041469218432468	5.029997085498547E-4	0.0013125395536190973	7.110467084212607E-5	0.0041630468024901075	V03_DN_R2_rmphix_fastqc
120-124	0.007492325501698098	5.203808503112634E-4	0.0013704766928237927	7.847848855908727E-5	0.004360559777051567	V03_DN_R2_rmphix_fastqc
125-129	0.007713013331941437	5.440824072586387E-4	0.0014178798067185435	8.163869615207066E-5	0.004536477999727643	V03_DN_R2_rmphix_fastqc
130-134	0.007980050873548533	5.640970553475334E-4	0.0014963582952776306	8.479890374505405E-5	0.004721350143917171	V03_DN_R2_rmphix_fastqc
135-139	0.008278163789819964	5.872719110294115E-4	0.00155166192815484	8.848581260353465E-5	0.0048862076400178036	V03_DN_R2_rmphix_fastqc
140	0.008466722842867975	6.057064553218146E-4	0.0015985383407840933	8.953921513452911E-5	0.004972059946293852	V03_DN_R2_rmphix_fastqc
