Base	N_Count	Library
95-99	0.01591656235572812	V10_DN_S222_L003_R2_001_fastqc
100-104	0.013690977549680254	V10_DN_S222_L003_R2_001_fastqc
105-109	0.011093749983313455	V10_DN_S222_L003_R2_001_fastqc
110-114	0.012616630949447934	V10_DN_S222_L003_R2_001_fastqc
115-119	0.011901111841937345	V10_DN_S222_L003_R2_001_fastqc
120-124	0.011232582048949837	V10_DN_S222_L003_R2_001_fastqc
125-129	0.01490202033761609	V10_DN_S222_L003_R2_001_fastqc
130-134	0.010702884321598712	V10_DN_S222_L003_R2_001_fastqc
135-139	0.010843852265167963	V10_DN_S222_L003_R2_001_fastqc
140-144	0.0026335374912255464	V10_DN_S222_L003_R2_001_fastqc
145-149	0.0021316061770016996	V10_DN_S222_L003_R2_001_fastqc
150-151	0.003225175678629826	V10_DN_S222_L003_R2_001_fastqc
1	0.011665662123539361	V11_DN_S223_L003_R1_001_fastqc
2	0.004156730181950807	V11_DN_S223_L003_R1_001_fastqc
3	0.0	V11_DN_S223_L003_R1_001_fastqc
4	0.02100713102706322	V11_DN_S223_L003_R1_001_fastqc
5	0.003609203894543309	V11_DN_S223_L003_R1_001_fastqc
6	0.0	V11_DN_S223_L003_R1_001_fastqc
7	9.162684809676509E-4	V11_DN_S223_L003_R1_001_fastqc
8	0.0	V11_DN_S223_L003_R1_001_fastqc
9	6.704403519275496E-5	V11_DN_S223_L003_R1_001_fastqc
10-14	2.480629302131933E-4	V11_DN_S223_L003_R1_001_fastqc
15-19	2.458281290401015E-5	V11_DN_S223_L003_R1_001_fastqc
20-24	1.0950525748149976E-4	V11_DN_S223_L003_R1_001_fastqc
25-29	2.480629302131933E-4	V11_DN_S223_L003_R1_001_fastqc
30-34	8.939204692367327E-4	V11_DN_S223_L003_R1_001_fastqc
35-39	9.922517208527733E-4	V11_DN_S223_L003_R1_001_fastqc
40-44	0.0011397485982768342	V11_DN_S223_L003_R1_001_fastqc
45-49	6.190399249464374E-4	V11_DN_S223_L003_R1_001_fastqc
50-54	0.001687274885684333	V11_DN_S223_L003_R1_001_fastqc
55-59	0.001926398611205159	V11_DN_S223_L003_R1_001_fastqc
60-64	9.028596739291001E-4	V11_DN_S223_L003_R1_001_fastqc
65-69	0.0013230022944703645	V11_DN_S223_L003_R1_001_fastqc
