Quality	Count	Library
34	226204.0	V09_DN_S221_L003_R2_001_fastqc
35	594356.0	V09_DN_S221_L003_R2_001_fastqc
36	5557559.0	V09_DN_S221_L003_R2_001_fastqc
37	2526426.0	V09_DN_S221_L003_R2_001_fastqc
13	4.0	V10_DN_S222_L003_R1_001_fastqc
14	16.0	V10_DN_S222_L003_R1_001_fastqc
15	50.0	V10_DN_S222_L003_R1_001_fastqc
16	95.0	V10_DN_S222_L003_R1_001_fastqc
17	180.0	V10_DN_S222_L003_R1_001_fastqc
18	227.0	V10_DN_S222_L003_R1_001_fastqc
19	331.0	V10_DN_S222_L003_R1_001_fastqc
20	543.0	V10_DN_S222_L003_R1_001_fastqc
21	979.0	V10_DN_S222_L003_R1_001_fastqc
22	1623.0	V10_DN_S222_L003_R1_001_fastqc
23	2559.0	V10_DN_S222_L003_R1_001_fastqc
24	3781.0	V10_DN_S222_L003_R1_001_fastqc
25	5841.0	V10_DN_S222_L003_R1_001_fastqc
26	8697.0	V10_DN_S222_L003_R1_001_fastqc
27	13232.0	V10_DN_S222_L003_R1_001_fastqc
28	18196.0	V10_DN_S222_L003_R1_001_fastqc
29	24027.0	V10_DN_S222_L003_R1_001_fastqc
30	31402.0	V10_DN_S222_L003_R1_001_fastqc
31	42462.0	V10_DN_S222_L003_R1_001_fastqc
32	59341.0	V10_DN_S222_L003_R1_001_fastqc
33	93100.0	V10_DN_S222_L003_R1_001_fastqc
34	166707.0	V10_DN_S222_L003_R1_001_fastqc
35	382042.0	V10_DN_S222_L003_R1_001_fastqc
36	4181868.0	V10_DN_S222_L003_R1_001_fastqc
37	4326528.0	V10_DN_S222_L003_R1_001_fastqc
11	138.0	V10_DN_S222_L003_R2_001_fastqc
12	2083.0	V10_DN_S222_L003_R2_001_fastqc
13	5009.0	V10_DN_S222_L003_R2_001_fastqc
14	4883.0	V10_DN_S222_L003_R2_001_fastqc
15	3766.0	V10_DN_S222_L003_R2_001_fastqc
16	2830.0	V10_DN_S222_L003_R2_001_fastqc
17	2645.0	V10_DN_S222_L003_R2_001_fastqc
18	3061.0	V10_DN_S222_L003_R2_001_fastqc
19	4414.0	V10_DN_S222_L003_R2_001_fastqc
20	6827.0	V10_DN_S222_L003_R2_001_fastqc
21	10798.0	V10_DN_S222_L003_R2_001_fastqc
22	15976.0	V10_DN_S222_L003_R2_001_fastqc
23	23428.0	V10_DN_S222_L003_R2_001_fastqc
24	34681.0	V10_DN_S222_L003_R2_001_fastqc
25	45009.0	V10_DN_S222_L003_R2_001_fastqc
26	47339.0	V10_DN_S222_L003_R2_001_fastqc
27	49916.0	V10_DN_S222_L003_R2_001_fastqc
28	51327.0	V10_DN_S222_L003_R2_001_fastqc
29	54286.0	V10_DN_S222_L003_R2_001_fastqc
30	55973.0	V10_DN_S222_L003_R2_001_fastqc
31	62533.0	V10_DN_S222_L003_R2_001_fastqc
32	79367.0	V10_DN_S222_L003_R2_001_fastqc
33	123300.0	V10_DN_S222_L003_R2_001_fastqc
34	221203.0	V10_DN_S222_L003_R2_001_fastqc
35	567036.0	V10_DN_S222_L003_R2_001_fastqc
36	5320848.0	V10_DN_S222_L003_R2_001_fastqc
