GC_Content	Count	Library
52	144223.0	V03_DN_S219_L003_R2_001_fastqc
53	154697.0	V03_DN_S219_L003_R2_001_fastqc
54	167480.5	V03_DN_S219_L003_R2_001_fastqc
55	181637.5	V03_DN_S219_L003_R2_001_fastqc
56	198247.5	V03_DN_S219_L003_R2_001_fastqc
57	216962.0	V03_DN_S219_L003_R2_001_fastqc
58	236584.0	V03_DN_S219_L003_R2_001_fastqc
59	257768.0	V03_DN_S219_L003_R2_001_fastqc
60	279056.0	V03_DN_S219_L003_R2_001_fastqc
61	299800.5	V03_DN_S219_L003_R2_001_fastqc
62	319358.0	V03_DN_S219_L003_R2_001_fastqc
63	335793.5	V03_DN_S219_L003_R2_001_fastqc
64	347661.0	V03_DN_S219_L003_R2_001_fastqc
65	353506.0	V03_DN_S219_L003_R2_001_fastqc
66	350071.0	V03_DN_S219_L003_R2_001_fastqc
67	339012.5	V03_DN_S219_L003_R2_001_fastqc
68	321724.0	V03_DN_S219_L003_R2_001_fastqc
69	297285.5	V03_DN_S219_L003_R2_001_fastqc
70	267157.0	V03_DN_S219_L003_R2_001_fastqc
71	232834.5	V03_DN_S219_L003_R2_001_fastqc
72	195068.5	V03_DN_S219_L003_R2_001_fastqc
73	158190.0	V03_DN_S219_L003_R2_001_fastqc
74	125625.0	V03_DN_S219_L003_R2_001_fastqc
75	96790.0	V03_DN_S219_L003_R2_001_fastqc
76	72855.0	V03_DN_S219_L003_R2_001_fastqc
77	53112.0	V03_DN_S219_L003_R2_001_fastqc
78	37559.5	V03_DN_S219_L003_R2_001_fastqc
79	26338.0	V03_DN_S219_L003_R2_001_fastqc
80	18043.5	V03_DN_S219_L003_R2_001_fastqc
81	12234.0	V03_DN_S219_L003_R2_001_fastqc
82	8346.0	V03_DN_S219_L003_R2_001_fastqc
83	5753.5	V03_DN_S219_L003_R2_001_fastqc
84	3974.5	V03_DN_S219_L003_R2_001_fastqc
85	2786.5	V03_DN_S219_L003_R2_001_fastqc
86	2008.5	V03_DN_S219_L003_R2_001_fastqc
87	1576.0	V03_DN_S219_L003_R2_001_fastqc
88	1324.0	V03_DN_S219_L003_R2_001_fastqc
89	1178.0	V03_DN_S219_L003_R2_001_fastqc
90	1130.5	V03_DN_S219_L003_R2_001_fastqc
91	1102.5	V03_DN_S219_L003_R2_001_fastqc
92	1079.5	V03_DN_S219_L003_R2_001_fastqc
93	1054.0	V03_DN_S219_L003_R2_001_fastqc
94	1091.5	V03_DN_S219_L003_R2_001_fastqc
95	1127.0	V03_DN_S219_L003_R2_001_fastqc
96	1153.0	V03_DN_S219_L003_R2_001_fastqc
97	1264.0	V03_DN_S219_L003_R2_001_fastqc
98	1381.0	V03_DN_S219_L003_R2_001_fastqc
99	1724.0	V03_DN_S219_L003_R2_001_fastqc
100	9956.0	V03_DN_S219_L003_R2_001_fastqc
0	6.0	V05_DN_S220_L003_R1_001_fastqc
1	5.5	V05_DN_S220_L003_R1_001_fastqc
2	5.0	V05_DN_S220_L003_R1_001_fastqc
3	4.0	V05_DN_S220_L003_R1_001_fastqc
4	7.0	V05_DN_S220_L003_R1_001_fastqc
5	11.5	V05_DN_S220_L003_R1_001_fastqc
6	16.5	V05_DN_S220_L003_R1_001_fastqc
7	24.0	V05_DN_S220_L003_R1_001_fastqc
8	34.5	V05_DN_S220_L003_R1_001_fastqc
9	50.5	V05_DN_S220_L003_R1_001_fastqc
10	80.5	V05_DN_S220_L003_R1_001_fastqc
11	115.5	V05_DN_S220_L003_R1_001_fastqc
12	162.5	V05_DN_S220_L003_R1_001_fastqc
13	236.5	V05_DN_S220_L003_R1_001_fastqc
14	308.5	V05_DN_S220_L003_R1_001_fastqc
15	416.0	V05_DN_S220_L003_R1_001_fastqc
16	539.5	V05_DN_S220_L003_R1_001_fastqc
17	717.0	V05_DN_S220_L003_R1_001_fastqc
18	1005.5	V05_DN_S220_L003_R1_001_fastqc
19	1360.0	V05_DN_S220_L003_R1_001_fastqc
20	1750.5	V05_DN_S220_L003_R1_001_fastqc
21	2246.0	V05_DN_S220_L003_R1_001_fastqc
22	3024.5	V05_DN_S220_L003_R1_001_fastqc
23	4037.5	V05_DN_S220_L003_R1_001_fastqc
24	5370.0	V05_DN_S220_L003_R1_001_fastqc
25	7165.5	V05_DN_S220_L003_R1_001_fastqc
26	9271.5	V05_DN_S220_L003_R1_001_fastqc
27	11560.0	V05_DN_S220_L003_R1_001_fastqc
28	14311.0	V05_DN_S220_L003_R1_001_fastqc
29	18237.0	V05_DN_S220_L003_R1_001_fastqc
30	22800.5	V05_DN_S220_L003_R1_001_fastqc
31	27675.0	V05_DN_S220_L003_R1_001_fastqc
32	33111.5	V05_DN_S220_L003_R1_001_fastqc
