Quality	Count	Library
32	52.0	WUB_TM13_R1_rmphix_fastqc
33	8225.0	WUB_TM13_R1_rmphix_fastqc
34	243199.0	WUB_TM13_R1_rmphix_fastqc
35	3125072.0	WUB_TM13_R1_rmphix_fastqc
36	3.6617357E7	WUB_TM13_R1_rmphix_fastqc
37	1.6542099E7	WUB_TM13_R1_rmphix_fastqc
32	13.0	WUB_TM13_R2_rmphix_fastqc
33	3716.0	WUB_TM13_R2_rmphix_fastqc
34	142419.0	WUB_TM13_R2_rmphix_fastqc
35	2697593.0	WUB_TM13_R2_rmphix_fastqc
36	4.0849176E7	WUB_TM13_R2_rmphix_fastqc
37	1.2843087E7	WUB_TM13_R2_rmphix_fastqc
32	104.0	WUB_TM14_R1_rmphix_fastqc
33	14120.0	WUB_TM14_R1_rmphix_fastqc
34	397026.0	WUB_TM14_R1_rmphix_fastqc
35	4750916.0	WUB_TM14_R1_rmphix_fastqc
36	5.2310853E7	WUB_TM14_R1_rmphix_fastqc
37	2.1514733E7	WUB_TM14_R1_rmphix_fastqc
32	26.0	WUB_TM14_R2_rmphix_fastqc
33	4117.0	WUB_TM14_R2_rmphix_fastqc
34	163988.0	WUB_TM14_R2_rmphix_fastqc
35	3359912.0	WUB_TM14_R2_rmphix_fastqc
36	5.7219664E7	WUB_TM14_R2_rmphix_fastqc
37	1.8240045E7	WUB_TM14_R2_rmphix_fastqc
32	45.0	WUB_TM15_R1_rmphix_fastqc
33	6488.0	WUB_TM15_R1_rmphix_fastqc
34	195301.0	WUB_TM15_R1_rmphix_fastqc
35	2564420.0	WUB_TM15_R1_rmphix_fastqc
36	3.6672271E7	WUB_TM15_R1_rmphix_fastqc
37	1.9812744E7	WUB_TM15_R1_rmphix_fastqc
32	14.0	WUB_TM15_R2_rmphix_fastqc
33	2684.0	WUB_TM15_R2_rmphix_fastqc
34	107796.0	WUB_TM15_R2_rmphix_fastqc
35	2186839.0	WUB_TM15_R2_rmphix_fastqc
36	4.1569286E7	WUB_TM15_R2_rmphix_fastqc
37	1.538465E7	WUB_TM15_R2_rmphix_fastqc
32	50.0	WUB_TM16_R1_rmphix_fastqc
33	8041.0	WUB_TM16_R1_rmphix_fastqc
34	237207.0	WUB_TM16_R1_rmphix_fastqc
35	3048689.0	WUB_TM16_R1_rmphix_fastqc
36	3.8567761E7	WUB_TM16_R1_rmphix_fastqc
37	1.8674337E7	WUB_TM16_R1_rmphix_fastqc
32	24.0	WUB_TM16_R2_rmphix_fastqc
33	3693.0	WUB_TM16_R2_rmphix_fastqc
34	140873.0	WUB_TM16_R2_rmphix_fastqc
35	2734281.0	WUB_TM16_R2_rmphix_fastqc
36	4.3365683E7	WUB_TM16_R2_rmphix_fastqc
37	1.4291531E7	WUB_TM16_R2_rmphix_fastqc
32	43.0	WUB_TM17_R1_rmphix_fastqc
33	6861.0	WUB_TM17_R1_rmphix_fastqc
34	215066.0	WUB_TM17_R1_rmphix_fastqc
35	3006237.0	WUB_TM17_R1_rmphix_fastqc
36	4.6578774E7	WUB_TM17_R1_rmphix_fastqc
37	1.953656E7	WUB_TM17_R1_rmphix_fastqc
32	43.0	WUB_TM17_R2_rmphix_fastqc
33	5360.0	WUB_TM17_R2_rmphix_fastqc
34	202086.0	WUB_TM17_R2_rmphix_fastqc
35	3833376.0	WUB_TM17_R2_rmphix_fastqc
36	5.2457541E7	WUB_TM17_R2_rmphix_fastqc
37	1.2845135E7	WUB_TM17_R2_rmphix_fastqc
32	50.0	WUB_TM18_R1_rmphix_fastqc
33	7400.0	WUB_TM18_R1_rmphix_fastqc
34	227906.0	WUB_TM18_R1_rmphix_fastqc
35	3132099.0	WUB_TM18_R1_rmphix_fastqc
36	4.7876294E7	WUB_TM18_R1_rmphix_fastqc
37	2.0276023E7	WUB_TM18_R1_rmphix_fastqc
32	36.0	WUB_TM18_R2_rmphix_fastqc
33	4999.0	WUB_TM18_R2_rmphix_fastqc
34	193993.0	WUB_TM18_R2_rmphix_fastqc
35	3809826.0	WUB_TM18_R2_rmphix_fastqc
36	5.4586139E7	WUB_TM18_R2_rmphix_fastqc
37	1.2924779E7	WUB_TM18_R2_rmphix_fastqc
32	73.0	WUB_TM19_R1_rmphix_fastqc
33	10583.0	WUB_TM19_R1_rmphix_fastqc
34	304186.0	WUB_TM19_R1_rmphix_fastqc
35	3774802.0	WUB_TM19_R1_rmphix_fastqc
36	4.5005609E7	WUB_TM19_R1_rmphix_fastqc
37	2.1272558E7	WUB_TM19_R1_rmphix_fastqc
32	22.0	WUB_TM19_R2_rmphix_fastqc
33	3663.0	WUB_TM19_R2_rmphix_fastqc
34	141965.0	WUB_TM19_R2_rmphix_fastqc
35	2800725.0	WUB_TM19_R2_rmphix_fastqc
36	4.9585977E7	WUB_TM19_R2_rmphix_fastqc
37	1.7835459E7	WUB_TM19_R2_rmphix_fastqc
32	143.0	WUB_TM20_R1_rmphix_fastqc
33	18573.0	WUB_TM20_R1_rmphix_fastqc
34	508467.0	WUB_TM20_R1_rmphix_fastqc
35	5896958.0	WUB_TM20_R1_rmphix_fastqc
36	6.1347332E7	WUB_TM20_R1_rmphix_fastqc
37	2.4703486E7	WUB_TM20_R1_rmphix_fastqc
32	27.0	WUB_TM20_R2_rmphix_fastqc
33	5075.0	WUB_TM20_R2_rmphix_fastqc
34	200272.0	WUB_TM20_R2_rmphix_fastqc
35	4031794.0	WUB_TM20_R2_rmphix_fastqc
36	6.7026469E7	WUB_TM20_R2_rmphix_fastqc
37	2.1211322E7	WUB_TM20_R2_rmphix_fastqc
32	57.0	WUB_TM21_R1_rmphix_fastqc
33	7867.0	WUB_TM21_R1_rmphix_fastqc
34	231234.0	WUB_TM21_R1_rmphix_fastqc
35	2928730.0	WUB_TM21_R1_rmphix_fastqc
36	3.7915302E7	WUB_TM21_R1_rmphix_fastqc
37	1.9715595E7	WUB_TM21_R1_rmphix_fastqc
32	27.0	WUB_TM21_R2_rmphix_fastqc
33	2892.0	WUB_TM21_R2_rmphix_fastqc
34	116068.0	WUB_TM21_R2_rmphix_fastqc
35	2359221.0	WUB_TM21_R2_rmphix_fastqc
36	4.2839093E7	WUB_TM21_R2_rmphix_fastqc
37	1.5481484E7	WUB_TM21_R2_rmphix_fastqc
32	42.0	WUB_TM22_R1_rmphix_fastqc
33	6440.0	WUB_TM22_R1_rmphix_fastqc
34	203312.0	WUB_TM22_R1_rmphix_fastqc
35	2854117.0	WUB_TM22_R1_rmphix_fastqc
36	4.4405594E7	WUB_TM22_R1_rmphix_fastqc
37	1.9602117E7	WUB_TM22_R1_rmphix_fastqc
32	31.0	WUB_TM22_R2_rmphix_fastqc
33	4319.0	WUB_TM22_R2_rmphix_fastqc
34	169991.0	WUB_TM22_R2_rmphix_fastqc
35	3304901.0	WUB_TM22_R2_rmphix_fastqc
36	5.0322496E7	WUB_TM22_R2_rmphix_fastqc
37	1.3269884E7	WUB_TM22_R2_rmphix_fastqc
32	82.0	WUB_TM23_R1_rmphix_fastqc
33	11893.0	WUB_TM23_R1_rmphix_fastqc
34	341107.0	WUB_TM23_R1_rmphix_fastqc
35	4244752.0	WUB_TM23_R1_rmphix_fastqc
