Length	Count	Library
65-69	159266.0	V17_DN_R1_rmphix_fastqc
70-74	161568.0	V17_DN_R1_rmphix_fastqc
75-79	163740.0	V17_DN_R1_rmphix_fastqc
80-84	164395.0	V17_DN_R1_rmphix_fastqc
85-89	167982.0	V17_DN_R1_rmphix_fastqc
90-94	170979.0	V17_DN_R1_rmphix_fastqc
95-99	171333.0	V17_DN_R1_rmphix_fastqc
100-104	179344.0	V17_DN_R1_rmphix_fastqc
105-109	181696.0	V17_DN_R1_rmphix_fastqc
110-114	188694.0	V17_DN_R1_rmphix_fastqc
115-119	202246.0	V17_DN_R1_rmphix_fastqc
120-124	203131.0	V17_DN_R1_rmphix_fastqc
125-129	209574.0	V17_DN_R1_rmphix_fastqc
130-134	236611.0	V17_DN_R1_rmphix_fastqc
135-139	232692.0	V17_DN_R1_rmphix_fastqc
140-144	250046.0	V17_DN_R1_rmphix_fastqc
145-149	297662.0	V17_DN_R1_rmphix_fastqc
150-152	2.467906E7	V17_DN_R1_rmphix_fastqc
50-54	230332.0	V17_DN_R2_rmphix_fastqc
55-59	228141.0	V17_DN_R2_rmphix_fastqc
60-64	225559.0	V17_DN_R2_rmphix_fastqc
65-69	235687.0	V17_DN_R2_rmphix_fastqc
70-74	238939.0	V17_DN_R2_rmphix_fastqc
75-79	237825.0	V17_DN_R2_rmphix_fastqc
80-84	241646.0	V17_DN_R2_rmphix_fastqc
85-89	244651.0	V17_DN_R2_rmphix_fastqc
90-94	256325.0	V17_DN_R2_rmphix_fastqc
95-99	260125.0	V17_DN_R2_rmphix_fastqc
100-104	272049.0	V17_DN_R2_rmphix_fastqc
105-109	286208.0	V17_DN_R2_rmphix_fastqc
110-114	300979.0	V17_DN_R2_rmphix_fastqc
115-119	311284.0	V17_DN_R2_rmphix_fastqc
120-124	318822.0	V17_DN_R2_rmphix_fastqc
125-129	335347.0	V17_DN_R2_rmphix_fastqc
130-134	369570.0	V17_DN_R2_rmphix_fastqc
135-139	371444.0	V17_DN_R2_rmphix_fastqc
140-144	386393.0	V17_DN_R2_rmphix_fastqc
145-149	476723.0	V17_DN_R2_rmphix_fastqc
150-152	2.2689491E7	V17_DN_R2_rmphix_fastqc
50-54	149958.0	V19_DN_R1_rmphix_fastqc
55-59	150994.0	V19_DN_R1_rmphix_fastqc
60-64	149007.0	V19_DN_R1_rmphix_fastqc
65-69	145709.0	V19_DN_R1_rmphix_fastqc
70-74	147960.0	V19_DN_R1_rmphix_fastqc
75-79	150064.0	V19_DN_R1_rmphix_fastqc
80-84	151052.0	V19_DN_R1_rmphix_fastqc
85-89	153639.0	V19_DN_R1_rmphix_fastqc
90-94	156479.0	V19_DN_R1_rmphix_fastqc
95-99	157070.0	V19_DN_R1_rmphix_fastqc
100-104	165960.0	V19_DN_R1_rmphix_fastqc
105-109	167102.0	V19_DN_R1_rmphix_fastqc
110-114	175426.0	V19_DN_R1_rmphix_fastqc
115-119	190637.0	V19_DN_R1_rmphix_fastqc
120-124	191504.0	V19_DN_R1_rmphix_fastqc
125-129	197588.0	V19_DN_R1_rmphix_fastqc
130-134	225838.0	V19_DN_R1_rmphix_fastqc
135-139	223003.0	V19_DN_R1_rmphix_fastqc
140-144	243146.0	V19_DN_R1_rmphix_fastqc
145-149	288910.0	V19_DN_R1_rmphix_fastqc
150-152	2.3410915E7	V19_DN_R1_rmphix_fastqc
50-54	204839.0	V19_DN_R2_rmphix_fastqc
55-59	204026.0	V19_DN_R2_rmphix_fastqc
60-64	198648.0	V19_DN_R2_rmphix_fastqc
65-69	207445.0	V19_DN_R2_rmphix_fastqc
70-74	211132.0	V19_DN_R2_rmphix_fastqc
75-79	212383.0	V19_DN_R2_rmphix_fastqc
80-84	216418.0	V19_DN_R2_rmphix_fastqc
85-89	217465.0	V19_DN_R2_rmphix_fastqc
90-94	230100.0	V19_DN_R2_rmphix_fastqc
95-99	237010.0	V19_DN_R2_rmphix_fastqc
100-104	247924.0	V19_DN_R2_rmphix_fastqc
105-109	261996.0	V19_DN_R2_rmphix_fastqc
110-114	277018.0	V19_DN_R2_rmphix_fastqc
115-119	291541.0	V19_DN_R2_rmphix_fastqc
120-124	295324.0	V19_DN_R2_rmphix_fastqc
125-129	312051.0	V19_DN_R2_rmphix_fastqc
130-134	348950.0	V19_DN_R2_rmphix_fastqc
135-139	348598.0	V19_DN_R2_rmphix_fastqc
140-144	365622.0	V19_DN_R2_rmphix_fastqc
145-149	449446.0	V19_DN_R2_rmphix_fastqc
150-152	2.1654025E7	V19_DN_R2_rmphix_fastqc
50-54	487096.0	WUB_TM01_R1_rmphix_fastqc
55-59	488182.0	WUB_TM01_R1_rmphix_fastqc
60-64	473171.0	WUB_TM01_R1_rmphix_fastqc
65-69	453513.0	WUB_TM01_R1_rmphix_fastqc
70-74	453935.0	WUB_TM01_R1_rmphix_fastqc
75-79	453875.0	WUB_TM01_R1_rmphix_fastqc
80-84	449811.0	WUB_TM01_R1_rmphix_fastqc
85-89	452260.0	WUB_TM01_R1_rmphix_fastqc
90-94	450021.0	WUB_TM01_R1_rmphix_fastqc
95-99	444540.0	WUB_TM01_R1_rmphix_fastqc
100-104	455188.0	WUB_TM01_R1_rmphix_fastqc
105-109	450941.0	WUB_TM01_R1_rmphix_fastqc
110-114	459709.0	WUB_TM01_R1_rmphix_fastqc
115-119	475068.0	WUB_TM01_R1_rmphix_fastqc
120-124	467222.0	WUB_TM01_R1_rmphix_fastqc
125-129	468346.0	WUB_TM01_R1_rmphix_fastqc
130-134	509711.0	WUB_TM01_R1_rmphix_fastqc
135-139	491273.0	WUB_TM01_R1_rmphix_fastqc
140-144	509142.0	WUB_TM01_R1_rmphix_fastqc
145-149	582165.0	WUB_TM01_R1_rmphix_fastqc
150-152	5.9013603E7	WUB_TM01_R1_rmphix_fastqc
50-54	426726.0	WUB_TM01_R2_rmphix_fastqc
55-59	418363.0	WUB_TM01_R2_rmphix_fastqc
60-64	418497.0	WUB_TM01_R2_rmphix_fastqc
65-69	428412.0	WUB_TM01_R2_rmphix_fastqc
70-74	427649.0	WUB_TM01_R2_rmphix_fastqc
75-79	419865.0	WUB_TM01_R2_rmphix_fastqc
80-84	428292.0	WUB_TM01_R2_rmphix_fastqc
85-89	428406.0	WUB_TM01_R2_rmphix_fastqc
90-94	439282.0	WUB_TM01_R2_rmphix_fastqc
95-99	435911.0	WUB_TM01_R2_rmphix_fastqc
100-104	447042.0	WUB_TM01_R2_rmphix_fastqc
105-109	456366.0	WUB_TM01_R2_rmphix_fastqc
110-114	472065.0	WUB_TM01_R2_rmphix_fastqc
115-119	480798.0	WUB_TM01_R2_rmphix_fastqc
120-124	482162.0	WUB_TM01_R2_rmphix_fastqc
125-129	502214.0	WUB_TM01_R2_rmphix_fastqc
130-134	537597.0	WUB_TM01_R2_rmphix_fastqc
135-139	532518.0	WUB_TM01_R2_rmphix_fastqc
140-144	550085.0	WUB_TM01_R2_rmphix_fastqc
145-149	681584.0	WUB_TM01_R2_rmphix_fastqc
150-152	5.9074938E7	WUB_TM01_R2_rmphix_fastqc
50-54	473756.0	WUB_TM02_R1_rmphix_fastqc
55-59	476153.0	WUB_TM02_R1_rmphix_fastqc
60-64	459294.0	WUB_TM02_R1_rmphix_fastqc
65-69	440710.0	WUB_TM02_R1_rmphix_fastqc
70-74	439701.0	WUB_TM02_R1_rmphix_fastqc
75-79	441529.0	WUB_TM02_R1_rmphix_fastqc
80-84	436363.0	WUB_TM02_R1_rmphix_fastqc
85-89	442069.0	WUB_TM02_R1_rmphix_fastqc
90-94	438559.0	WUB_TM02_R1_rmphix_fastqc
95-99	433448.0	WUB_TM02_R1_rmphix_fastqc
100-104	446009.0	WUB_TM02_R1_rmphix_fastqc
105-109	441135.0	WUB_TM02_R1_rmphix_fastqc
110-114	450253.0	WUB_TM02_R1_rmphix_fastqc
115-119	464042.0	WUB_TM02_R1_rmphix_fastqc
120-124	458497.0	WUB_TM02_R1_rmphix_fastqc
125-129	458452.0	WUB_TM02_R1_rmphix_fastqc
130-134	501779.0	WUB_TM02_R1_rmphix_fastqc
135-139	483595.0	WUB_TM02_R1_rmphix_fastqc
140-144	503761.0	WUB_TM02_R1_rmphix_fastqc
145-149	570715.0	WUB_TM02_R1_rmphix_fastqc
150-152	5.7906787E7	WUB_TM02_R1_rmphix_fastqc
50-54	393257.0	WUB_TM02_R2_rmphix_fastqc
55-59	388097.0	WUB_TM02_R2_rmphix_fastqc
60-64	384491.0	WUB_TM02_R2_rmphix_fastqc
65-69	397028.0	WUB_TM02_R2_rmphix_fastqc
70-74	395975.0	WUB_TM02_R2_rmphix_fastqc
75-79	388897.0	WUB_TM02_R2_rmphix_fastqc
80-84	394162.0	WUB_TM02_R2_rmphix_fastqc
85-89	395459.0	WUB_TM02_R2_rmphix_fastqc
90-94	406986.0	WUB_TM02_R2_rmphix_fastqc
95-99	405444.0	WUB_TM02_R2_rmphix_fastqc
100-104	415556.0	WUB_TM02_R2_rmphix_fastqc
105-109	426190.0	WUB_TM02_R2_rmphix_fastqc
110-114	440664.0	WUB_TM02_R2_rmphix_fastqc
115-119	449163.0	WUB_TM02_R2_rmphix_fastqc
120-124	453205.0	WUB_TM02_R2_rmphix_fastqc
125-129	471018.0	WUB_TM02_R2_rmphix_fastqc
130-134	509601.0	WUB_TM02_R2_rmphix_fastqc
135-139	504775.0	WUB_TM02_R2_rmphix_fastqc
140-144	525046.0	WUB_TM02_R2_rmphix_fastqc
145-149	652964.0	WUB_TM02_R2_rmphix_fastqc
150-152	5.8368629E7	WUB_TM02_R2_rmphix_fastqc
50-54	543133.0	WUB_TM03_R1_rmphix_fastqc
55-59	553079.0	WUB_TM03_R1_rmphix_fastqc
60-64	527355.0	WUB_TM03_R1_rmphix_fastqc
65-69	495379.0	WUB_TM03_R1_rmphix_fastqc
70-74	497712.0	WUB_TM03_R1_rmphix_fastqc
75-79	501570.0	WUB_TM03_R1_rmphix_fastqc
80-84	486996.0	WUB_TM03_R1_rmphix_fastqc
85-89	496242.0	WUB_TM03_R1_rmphix_fastqc
90-94	487711.0	WUB_TM03_R1_rmphix_fastqc
95-99	488732.0	WUB_TM03_R1_rmphix_fastqc
100-104	502676.0	WUB_TM03_R1_rmphix_fastqc
105-109	487635.0	WUB_TM03_R1_rmphix_fastqc
110-114	499405.0	WUB_TM03_R1_rmphix_fastqc
115-119	515362.0	WUB_TM03_R1_rmphix_fastqc
120-124	519652.0	WUB_TM03_R1_rmphix_fastqc
125-129	521934.0	WUB_TM03_R1_rmphix_fastqc
130-134	568093.0	WUB_TM03_R1_rmphix_fastqc
135-139	539245.0	WUB_TM03_R1_rmphix_fastqc
140-144	572375.0	WUB_TM03_R1_rmphix_fastqc
145-149	641625.0	WUB_TM03_R1_rmphix_fastqc
150-152	5.7850791E7	WUB_TM03_R1_rmphix_fastqc
50-54	381802.0	WUB_TM03_R2_rmphix_fastqc
55-59	376859.0	WUB_TM03_R2_rmphix_fastqc
60-64	361145.0	WUB_TM03_R2_rmphix_fastqc
65-69	383734.0	WUB_TM03_R2_rmphix_fastqc
70-74	379035.0	WUB_TM03_R2_rmphix_fastqc
75-79	372446.0	WUB_TM03_R2_rmphix_fastqc
80-84	373210.0	WUB_TM03_R2_rmphix_fastqc
85-89	368386.0	WUB_TM03_R2_rmphix_fastqc
90-94	389553.0	WUB_TM03_R2_rmphix_fastqc
95-99	383108.0	WUB_TM03_R2_rmphix_fastqc
100-104	400557.0	WUB_TM03_R2_rmphix_fastqc
105-109	411723.0	WUB_TM03_R2_rmphix_fastqc
110-114	417021.0	WUB_TM03_R2_rmphix_fastqc
115-119	432293.0	WUB_TM03_R2_rmphix_fastqc
120-124	431708.0	WUB_TM03_R2_rmphix_fastqc
125-129	452433.0	WUB_TM03_R2_rmphix_fastqc
130-134	504072.0	WUB_TM03_R2_rmphix_fastqc
135-139	499250.0	WUB_TM03_R2_rmphix_fastqc
140-144	521426.0	WUB_TM03_R2_rmphix_fastqc
145-149	649910.0	WUB_TM03_R2_rmphix_fastqc
150-152	5.9807031E7	WUB_TM03_R2_rmphix_fastqc
50-54	624231.0	WUB_TM04_R1_rmphix_fastqc
55-59	636511.0	WUB_TM04_R1_rmphix_fastqc
60-64	603821.0	WUB_TM04_R1_rmphix_fastqc
65-69	564478.0	WUB_TM04_R1_rmphix_fastqc
70-74	569256.0	WUB_TM04_R1_rmphix_fastqc
75-79	573107.0	WUB_TM04_R1_rmphix_fastqc
80-84	556818.0	WUB_TM04_R1_rmphix_fastqc
85-89	569327.0	WUB_TM04_R1_rmphix_fastqc
90-94	556960.0	WUB_TM04_R1_rmphix_fastqc
95-99	559958.0	WUB_TM04_R1_rmphix_fastqc
100-104	573040.0	WUB_TM04_R1_rmphix_fastqc
105-109	562512.0	WUB_TM04_R1_rmphix_fastqc
110-114	571928.0	WUB_TM04_R1_rmphix_fastqc
115-119	590928.0	WUB_TM04_R1_rmphix_fastqc
120-124	595023.0	WUB_TM04_R1_rmphix_fastqc
125-129	602764.0	WUB_TM04_R1_rmphix_fastqc
130-134	654378.0	WUB_TM04_R1_rmphix_fastqc
135-139	619355.0	WUB_TM04_R1_rmphix_fastqc
140-144	659433.0	WUB_TM04_R1_rmphix_fastqc
145-149	745258.0	WUB_TM04_R1_rmphix_fastqc
150-152	6.2651702E7	WUB_TM04_R1_rmphix_fastqc
50-54	441006.0	WUB_TM04_R2_rmphix_fastqc
55-59	438253.0	WUB_TM04_R2_rmphix_fastqc
